[ 2022-05-04 10:06:31,708 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 10:06:31,785 ] Disconnected from gameserver
[ 2022-05-04 10:06:31,874 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:06:32,956 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 10:06:32,974 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:06:32,986 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:06:33,909 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:06:38,314 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 10:06:38,396 ] Disconnected from gameserver
[ 2022-05-04 10:06:38,445 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:06:39,371 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-04 10:06:39,381 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:06:39,392 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:06:40,334 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:07:31,767 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 10:07:31,841 ] Disconnected from gameserver
[ 2022-05-04 10:07:31,883 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:07:32,808 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-04 10:07:32,818 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:07:32,830 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:07:33,770 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:07:46,566 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 10:07:46,642 ] Disconnected from gameserver
[ 2022-05-04 10:07:46,702 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
